shop_name,shop_id,shop_names
"!Якутск Орджоникидзе, 56 фран",0,"Houston, TX"
"!Якутск ТЦ ""Центральный"" фран",1,"Miami, FL"
"Адыгея ТЦ ""Мега""",2,"San Antonio, TX"
"Балашиха ТРК ""Октябрь-Киномир""",3,"Orlando, FL"
"Волжский ТЦ ""Волга Молл""",4,"Kissimmee, FL"
"Вологда ТРЦ ""Мармелад""",5,"Phoenix, AZ"
"Воронеж (Плехановская, 13)",6,"Philadelphia, PA"
"Воронеж ТРЦ ""Максимир""",7,"Las Vegas, NV"
"Воронеж ТРЦ Сити-Парк ""Град""",8,"Chicago, IL"
Выездная Торговля,9,"New York, NY"
Жуковский ул. Чкалова 39м?,10,"Los Angeles, CA"
Жуковский ул. Чкалова 39м²,11,"Dallas, TX"
Интернет-магазин ЧС,12,"Atlanta, GA"
"Казань ТЦ ""Бехетле""",13,"Charlotte, NC"
"Казань ТЦ ""ПаркХаус"" II",14,"Raleigh, NC"
"Калуга ТРЦ ""XXI век""",15,"Tampa, FL"
"Коломна ТЦ ""Рио""",16,"Jacksonville, FL"
"Красноярск ТЦ ""Взлетка Плаза""",17,"St. Louis, MO"
"Красноярск ТЦ ""Июнь""",18,"Columbus, OH"
"Курск ТЦ ""Пушкинский""",19,"Cleveland, OH"
"Москва ""Распродажа""",20,"Pittsburgh, PA"
"Москва МТРЦ ""Афи Молл""",21,"Indianapolis, IN"
Москва Магазин С21,22,"Cincinnati, OH"
"Москва ТК ""Буденовский"" (пав.А2)",23,"Nashville, TN"
"Москва ТК ""Буденовский"" (пав.К7)",24,"Birmingham, AL"
"Москва ТРК ""Атриум""",25,"Montgomery, AL"
"Москва ТЦ ""Ареал"" (Беляево)",26,"Mobile, AL"
"Москва ТЦ ""МЕГА Белая Дача II""",27,"Huntsville, AL"
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,"Little Rock, AR"
"Москва ТЦ ""Новый век"" (Новокосино)",29,"Fayetteville, AR"
"Москва ТЦ ""Перловский""",30,"Bakersfield, CA"
"Москва ТЦ ""Семеновский""",31,"Riverside, CA"
"Москва ТЦ ""Серебряный Дом""",32,"San Bernardino, CA"
"Мытищи ТРК ""XL-3""",33,"Sacramento, CA"
"Н.Новгород ТРЦ ""РИО""",34,"San Jose, CA"
"Н.Новгород ТРЦ ""Фантастика""",35,"Denver, CO"
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,"Bridgeport, CT"
"Новосибирск ТЦ ""Мега""",37,"Hartford, CT"
"Омск ТЦ ""Мега""",38,"Wilmington, DE"
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,"Miami Gardens, FL"
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,"Fort Lauderdale, FL"
"РостовНаДону ТЦ ""Мега""",41,"Hollywood, FL"
"СПб ТК ""Невский Центр""",42,"New Haven, CT"
"СПб ТК ""Сенная""",43,"Wilmington, NC"
"Самара ТЦ ""Мелодия""",44,"Jacksonville, NC"
"Самара ТЦ ""ПаркХаус""",45,"Asheville, NC"
"Сергиев Посад ТЦ ""7Я""",46,"Macon, GA"
"Сургут ТРЦ ""Сити Молл""",47,"Augusta, GA"
"Томск ТРЦ ""Изумрудный Город""",48,"Savannah, GA"
"Тюмень ТРЦ ""Кристалл""",49,"Champaign, IL"
"Тюмень ТЦ ""Гудвин""",50,"Peoria, IL"
"Тюмень ТЦ ""Зеленый Берег""",51,"Decatur, IL"
"Уфа ТК ""Центральный""",52,"Evansville, IN"
"Уфа ТЦ ""Семья"" 2",53,"South Bend, IN"
"Химки ТЦ ""Мега""",54,"Terre Haute, IN"
Цифровой склад 1С-Онлайн,55,"Owensboro, KY"
"Чехов ТРЦ ""Карнавал""",56,"Shreveport, LA"
"Якутск Орджоникидзе, 56",57,"Lafayette, LA"
"Якутск ТЦ ""Центральный""",58,"Kenner, LA"
"Ярославль ТЦ ""Альтаир""",59,"Downey, CA"
